iter	Passed	Remaining
0	24	24557
1	48	24091
2	72	24199
3	98	24417
4	122	24336
5	146	24303
6	171	24387
7	196	24361
8	221	24363
9	246	24435
10	270	24360
11	295	24317
12	320	24315
13	343	24195
14	364	23956
15	388	23903
16	413	23905
17	437	23852
18	461	23826
19	485	23781
20	509	23742
21	534	23779
22	560	23803
23	585	23828
24	611	23851
25	632	23689
26	658	23731
27	683	23721
28	708	23706
29	728	23566
30	754	23570
31	780	23609
32	806	23621
33	831	23625
34	857	23637
35	881	23595
36	905	23578
37	931	23588
38	955	23551
39	981	23548
40	1005	23525
41	1029	23473
42	1053	23455
43	1080	23482
44	1108	23516
45	1132	23488
46	1153	23388
47	1178	23379
48	1204	23380
49	1227	23325
50	1250	23273
51	1275	23252
52	1300	23235
53	1325	23218
54	1348	23170
55	1369	23078
56	1391	23026
57	1416	23002
58	1440	22969
59	1463	22925
60	1487	22898
61	1512	22881
62	1537	22865
63	1561	22841
64	1584	22795
65	1607	22753
66	1632	22730
67	1656	22700
68	1681	22688
69	1705	22657
70	1728	22620
71	1752	22588
72	1776	22555
73	1801	22547
74	1825	22518
75	1848	22474
76	1873	22453
77	1896	22412
78	1920	22386
79	1944	22356
80	1968	22330
81	1992	22305
82	2017	22288
83	2042	22276
84	2066	22244
85	2091	22224
86	2115	22196
87	2138	22165
88	2164	22154
89	2189	22137
90	2214	22120
91	2235	22061
92	2259	22037
93	2284	22022
94	2309	22003
95	2334	21981
96	2358	21953
97	2382	21931
98	2406	21898
99	2430	21878
100	2453	21840
101	2478	21817
102	2504	21809
103	2529	21795
104	2554	21775
105	2593	21875
106	2618	21852
107	2643	21829
108	2668	21812
109	2693	21789
110	2716	21760
111	2742	21740
112	2767	21727
113	2791	21697
114	2816	21675
115	2841	21654
116	2867	21641
117	2896	21653
118	2926	21665
119	2951	21644
120	2976	21622
121	3002	21609
122	3030	21607
123	3059	21615
124	3083	21581
125	3108	21559
126	3132	21530
127	3154	21492
128	3179	21465
129	3204	21444
130	3227	21410
131	3252	21389
132	3276	21361
133	3302	21341
134	3328	21328
135	3358	21333
136	3384	21317
137	3410	21300
138	3435	21282
139	3462	21272
140	3488	21251
141	3515	21238
142	3542	21230
143	3570	21222
144	3597	21212
145	3624	21201
146	3651	21189
147	3679	21179
148	3705	21163
149	3728	21129
150	3751	21092
151	3775	21064
152	3800	21040
153	3826	21019
154	3851	20999
155	3875	20969
156	3900	20944
157	3924	20914
158	3948	20885
159	3974	20864
160	3999	20843
161	4023	20814
162	4048	20790
163	4073	20763
164	4097	20734
165	4121	20707
166	4144	20673
167	4168	20646
168	4194	20623
169	4218	20595
170	4243	20572
171	4268	20548
172	4294	20530
173	4321	20512
174	4345	20486
175	4371	20464
176	4396	20440
177	4419	20409
178	4443	20379
179	4468	20356
180	4492	20326
181	4517	20303
182	4541	20273
183	4565	20245
184	4589	20219
185	4613	20191
186	4639	20168
187	4660	20130
188	4684	20102
189	4710	20080
190	4733	20049
191	4757	20020
192	4779	19985
193	4804	19962
194	4827	19926
195	4851	19899
196	4875	19874
197	4899	19847
198	4924	19823
199	4949	19799
200	4974	19774
201	4998	19747
202	5023	19722
203	5048	19699
204	5071	19666
205	5094	19637
206	5120	19617
207	5145	19593
208	5172	19574
209	5198	19555
210	5222	19527
211	5248	19508
212	5272	19482
213	5296	19455
214	5322	19435
215	5348	19412
216	5373	19389
217	5398	19363
218	5422	19337
219	5447	19313
220	5472	19290
221	5496	19263
222	5518	19226
