iter	Passed	Remaining
0	17	17635
1	32	16049
2	53	17769
3	69	17337
4	87	17454
5	106	17608
6	123	17471
7	144	17937
8	164	18153
9	184	18216
10	202	18187
11	222	18291
12	235	17847
13	253	17878
14	271	17817
15	289	17800
16	309	17894
17	327	17885
18	347	17962
19	367	18002
20	386	18000
21	407	18106
22	427	18159
23	445	18135
24	465	18138
25	484	18141
26	501	18061
27	517	17955
28	538	18028
29	558	18058
30	578	18089
31	597	18070
32	617	18107
33	640	18185
34	659	18176
35	679	18204
36	699	18217
37	717	18165
38	738	18199
39	758	18212
40	779	18235
41	800	18266
42	822	18297
43	840	18270
44	860	18260
45	881	18274
46	903	18328
47	926	18375
48	947	18390
49	969	18425
50	996	18543
51	1030	18788
52	1053	18828
53	1075	18838
54	1097	18850
55	1118	18860
56	1140	18868
57	1163	18892
58	1185	18914
59	1205	18893
60	1228	18913
61	1250	18913
62	1270	18893
63	1292	18908
64	1313	18900
65	1334	18881
66	1355	18878
67	1376	18869
68	1397	18857
69	1418	18846
70	1441	18863
71	1461	18837
72	1484	18857
73	1505	18838
74	1528	18847
75	1551	18859
76	1573	18867
77	1597	18888
78	1618	18869
79	1641	18878
80	1662	18865
81	1683	18851
82	1709	18882
83	1734	18915
84	1756	18910
85	1778	18901
86	1801	18907
87	1828	18945
88	1850	18939
89	1872	18933
90	1895	18933
91	1918	18936
92	1942	18940
93	1964	18938
94	1991	18974
95	2024	19062
96	2054	19126
97	2077	19120
98	2098	19095
99	2121	19089
100	2141	19059
101	2162	19037
102	2181	18996
103	2205	19001
104	2227	18985
105	2247	18956
106	2273	18970
107	2294	18950
108	2321	18973
109	2348	18999
110	2370	18985
111	2395	18993
112	2438	19144
113	2465	19159
114	2487	19145
115	2532	19298
116	2564	19356
117	2592	19376
118	2620	19398
119	2646	19404
120	2664	19355
121	2692	19378
122	2722	19413
123	2745	19398
124	2766	19363
125	2794	19387
126	2824	19414
127	2847	19397
128	2868	19367
129	2892	19354
130	2911	19315
131	2932	19282
132	2958	19284
133	2995	19356
134	3022	19368
135	3042	19329
136	3064	19305
137	3092	19318
138	3119	19324
139	3143	19309
140	3170	19316
141	3193	19297
142	3215	19273
143	3241	19270
144	3268	19271
145	3289	19239
146	3309	19202
147	3327	19156
148	3346	19115
149	3368	19085
150	3385	19034
151	3406	19004
152	3425	18965
153	3443	18917
154	3467	18903
155	3487	18866
156	3505	18824
157	3527	18799
158	3550	18777
159	3569	18738
160	3588	18701
161	3605	18650
162	3622	18601
163	3638	18545
164	3655	18499
165	3672	18451
166	3690	18407
167	3704	18347
168	3720	18292
169	3736	18242
170	3751	18184
171	3767	18134
172	3783	18088
173	3800	18043
174	3821	18014
175	3842	17992
176	3860	17951
177	3875	17897
178	3895	17865
179	3910	17813
180	3927	17773
181	3945	17734
182	3959	17678
183	3977	17637
184	3996	17605
185	4012	17558
186	4029	17520
187	4045	17472
188	4059	17420
189	4073	17364
190	4086	17309
191	4103	17267
192	4120	17228
193	4135	17183
194	4152	17141
195	4171	17112
196	4192	17089
197	4208	17044
198	4222	16996
199	4238	16954
200	4252	16902
201	4267	16857
202	4281	16811
203	4298	16771
204	4311	16720
205	4329	16687
206	4343	16639
207	4360	16601
208	4374	16556
209	4393	16528
210	4411	16496
211	4435	16486
212	4455	16462
213	4474	16434
214	4495	16413
215	4529	16441
216	4550	16418
217	4571	16399
218	4592	16376
219	4610	16346
220	4628	16313
221	4651	16302
222	4678	16299
223	4697	16275
224	4719	16256
225	4743	16244
226	4762	16218
227	4781	16190
228	4799	16159
229	4822	16145
230	4840	16115
231	4861	16092
232	4879	16061
233	4895	16026
234	4917	16008
235	4943	16003
236	4966	15988
237	4989	15975
238	5016	15971
239	5046	15980
240	5069	15965
241	5088	15936
242	5108	15915
243	5129	15892
244	5155	15888
245	5173	15857
246	5196	15842
247	5216	15818
248	5238	15798
249	5254	15763
250	5276	15744
251	5295	15717
252	5314	15691
253	5332	15662
254	5353	15641
255	5369	15605
256	5388	15577
257	5405	15547
258	5423	15518
259	5442	15489
260	5460	15460
261	5484	15447
262	5500	15414
263	5519	15386
264	5536	15356
265	5567	15363
266	5592	15351
267	5608	15319
268	5634	15311
269	5651	15278
270	5669	15250
271	5690	15229
272	5708	15201
273	5725	15169
274	5741	15137
275	5758	15105
276	5771	15064
277	5791	15041
278	5809	15012
279	5828	14988
280	5847	14961
281	5866	14937
282	5881	14901
283	5898	14870
284	5913	14836
285	5928	14800
286	5945	14771
287	5963	14742
288	5982	14717
289	6001	14694
290	6019	14665
291	6035	14634
292	6050	14598
293	6067	14570
294	6083	14539
295	6098	14503
296	6119	14485
297	6134	14452
298	6149	14416
299	6165	14387
300	6181	14356
301	6194	14318
302	6211	14287
303	6232	14268
304	6246	14234
305	6260	14197
306	6277	14171
307	6293	14139
308	6314	14120
309	6333	14097
310	6349	14066
311	6370	14047
312	6390	14025
313	6405	13994
314	6423	13968
315	6436	13932
316	6451	13900
317	6466	13869
318	6482	13839
319	6498	13808
320	6512	13775
321	6527	13744
322	6543	13714
323	6558	13684
324	6573	13651
325	6588	13621
326	6604	13592
327	6621	13566
328	6637	13537
329	6654	13510
330	6669	13480
331	6687	13455
332	6700	13421
333	6715	13390
334	6732	13365
335	6748	13336
336	6764	13307
337	6780	13279
338	6794	13249
339	6811	13221
340	6825	13190
341	6841	13163
342	6854	13129
343	6871	13102
344	6890	13082
345	6914	13069
346	6934	13049
347	6953	13028
348	6968	12997
349	6981	12965
350	6994	12933
351	7008	12901
352	7023	12872
353	7038	12843
354	7054	12817
355	7073	12795
356	7088	12767
357	7103	12739
358	7119	12711
359	7133	12681
360	7146	12649
361	7161	12620
362	7176	12593
363	7194	12569
364	7207	12539
365	7222	12510
366	7238	12484
367	7252	12454
368	7268	12428
369	7283	12401
370	7300	12378
371	7314	12348
372	7329	12320
373	7344	12292
374	7360	12266
375	7373	12236
376	7390	12212
377	7404	12183
378	7419	12157
379	7436	12132
380	7451	12106
381	7467	12081
382	7483	12055
383	7500	12031
384	7516	12006
385	7535	11986
386	7553	11965
387	7568	11938
388	7585	11914
389	7615	11910
390	7637	11895
391	7653	11870
392	7668	11844
